count,tag,decision,kp_name
25,"平衡常数",REPLACE,"平衡常数"
22,"理想气体",REPLACE,"理想气体"
22,"气体分子量测定",REPLACE,"气体分子量测定"
22,"Dalton分压",REPLACE,"Dalton分压定律"
22,"焓",REPLACE,"焓"
22,"熵",REPLACE,"熵"
22,"Gibbs自由能",REPLACE,"Gibbs自由能"
22,"盖斯定律",REPLACE,"盖斯定律"
22,"标准生成焓",REPLACE,"标准生成焓"
21,"溶液浓度",REPLACE,"溶液浓度"
21,"溶解度",REPLACE,"溶解度"
21,"分散相与连续相",REPLACE,"分散相与连续相"
20,"溶度积",REPLACE,"溶度积"
19,"pH",REPLACE,"pH"
16,"过渡金属通性",REDLINK,""
15,"酸碱平衡",REPLACE,"质子转移可行性"
13,"标准电极电势",REPLACE,"标准电极电势"
12,"反应速率",REPLACE,"反应速率"
12,"原子轨道",REPLACE,"原子轨道"
12,"稳定常数",REPLACE,"稳定常数"
11,"Nernst方程",REPLACE,"Nernst方程"
11,"配合反应",REPLACE,"配合反应"
10,"缓冲溶液",REPLACE,"缓冲溶液"
10,"元素推断",REDLINK,""
9,"共轭酸碱对",REPLACE,"共轭酸碱对"
8,"晶胞",REPLACE,"晶胞"
8,"碱土金属",REPLACE,"碱土金属"
7,"单质制备方法",REPLACE,"单质制备方法"
7,"Diels-Alder反应",REPLACE,"Diels-Alder反应"
7,"区域选择性",REPLACE,"原子经济性与反应选择性"
6,"反应商",REPLACE,"反应商"
6,"[[活化能]]",REDLINK,""
6,"电子排布",REPLACE,"电子排布"
6,"杂化轨道理论",REPLACE,"杂化轨道理论"
6,"离子晶体",REPLACE,"离子晶体"
6,"氧族元素",REPLACE,"氧族元素"
6,"立体化学",REPLACE,"立体化学"
6,"1",REPLACE,"过碘酸氧化"
6,"结构推断",REPLACE,"邻二醇切断"
5,"[[反应速率]]",REDLINK,""
5,"氧化还原反应方程式配平",REPLACE,"氧化还原反应方程式配平"
5,"电离能",REPLACE,"电离能"
5,"元素周期律",REPLACE,"元素周期律"
5,"Lewis结构式",REPLACE,"Lewis结构式"
5,"VSEPR理论",REPLACE,"VSEPR理论"
5,"氢键",REPLACE,"氢键"
5,"配合物",REPLACE,"配合物"
5,"配合物异构",REPLACE,"配合物异构"
5,"晶体场理论",REPLACE,"晶体场理论"
5,"卤素",REPLACE,"卤素"
5,"自由基",REPLACE,"自由基"
5,"物料守恒",REDLINK,""
5,"亲核取代",REDLINK,""
5,"Friedel-Crafts反应",REDLINK,""
5,"有机合成",REDLINK,""
4,"离子键",REPLACE,"离子键"
4,"键能",REPLACE,"键能"
4,"分子轨道理论",REPLACE,"有机分子轨道"
4,"金属晶体",REPLACE,"金属晶体"
4,"配合物杂化轨道理论",REPLACE,"配合物杂化轨道理论"
4,"高自旋与低自旋",REPLACE,"高自旋与低自旋"
4,"碱金属",REPLACE,"碱金属"
4,"氮族元素",REPLACE,"氮族元素"
4,"碳正离子",REDLINK,""
4,"SN2反应",REDLINK,""
4,"抗磁性",REDLINK,""
4,"化学式推断",REDLINK,""
4,"离子方程式",REDLINK,""
4,"方程式书写",REDLINK,""
4,"热力学计算",REDLINK,""
4,"KP-5加2环加成",REDLINK,""
4,"KP-Achmatowicz重排",REDLINK,""
4,"KP-Brook重排",REDLINK,""
4,"KP-立体选择性",REDLINK,""
4,"KP-材料化学",REDLINK,""
3,"Brønsted酸碱理论",REPLACE,"Brønsted酸碱理论"
3,"离域π键",REPLACE,"离域π键"
3,"分子极性",REPLACE,"分子极性"
3,"范德华力",REPLACE,"范德华力"
3,"等径球堆积",REPLACE,"等径球堆积"
3,"配合物几何构型",REPLACE,"配合物几何构型"
3,"碳族元素",REPLACE,"碳族元素"
3,"杂环化合物",REDLINK,""
3,"烯烃复分解反应",REDLINK,""
